Date,Workout Name,Exercise Name,Reps,Weight (kg),Weight (lb),Notes,Duration
2019-06-26 12:12:40,Improvised Workout,Deadlift,5,60.0,132.27735731092653,,0
2019-06-26 19:34:52,Improvised Workout,Deadlift,8,60.0,132.27735731092653,,0
2019-06-26 19:37:30,Improvised Workout,Deadlift,5,80.0,176.36980974790205,,0
2019-06-26 19:39:22,Improvised Workout,Deadlift,1,100.0,220.46226218487757,,0
2019-06-26 19:40:25,Improvised Workout,Deadlift,1,110.0,242.50848840336533,,0
2019-06-26 19:43:21,Improvised Workout,Deadlift,1,120.0,264.55471462185307,,0
2019-06-26 19:45:24,Improvised Workout,Deadlift,1,130.0,286.60094084034085,,0
2019-06-26 19:47:23,Improvised Workout,Deadlift,1,140.0,308.6471670588286,,0
2019-06-26 19:52:50,Improvised Workout,Deadlift,1,150.0,330.6933932773164,,0
2019-06-26 19:57:36,Improvised Workout,Deadlift,0,155.0,341.71650638656024,,0
2019-06-26 19:58:53,Improvised Workout,Deadlift,1,140.0,308.6471670588286,,0
2019-06-26 20:02:32,Improvised Workout,Deadlift,1,140.0,308.6471670588286,,0
2019-06-26 20:04:17,Improvised Workout,Deadlift,1,130.0,286.60094084034085,,0
2019-06-26 20:05:54,Improvised Workout,Deadlift,3,120.0,264.55471462185307,,0
2019-06-26 20:11:28,Improvised Workout,Deadlift,4,100.0,220.46226218487757,,0
2019-06-26 20:14:46,Improvised Workout,Bench Press,10,20.0,44.09245243697551,,0
2019-06-26 20:14:50,Improvised Workout,Bench Press,8,40.0,88.18490487395103,,0
2019-06-26 20:16:26,Improvised Workout,Bench Press,8,50.0,110.23113109243879,,0
2019-06-26 20:17:46,Improvised Workout,Bench Press,8,60.0,132.27735731092653,,0
2019-06-26 20:19:41,Improvised Workout,Bench Press,8,70.0,154.3235835294143,,0
2019-06-26 20:23:02,Improvised Workout,Bench Press,5,75.0,165.3466966386582,,0
2019-06-26 20:25:16,Improvised Workout,Bench Press,5,70.0,154.3235835294143,,0
2019-06-26 20:27:51,Improvised Workout,Bench Press,5,60.0,132.27735731092653,,0
2019-06-26 20:27:56,Improvised Workout,Bench Press,5,50.0,110.23113109243879,,0
2019-06-28 19:52:01,Improvised Workout,Squat,8,0.0,0.0,,0
2019-06-28 19:52:05,Improvised Workout,Squat,5,20.0,44.09245243697551,,0
2019-06-28 19:52:53,Improvised Workout,Squat,5,40.0,88.18490487395103,,0
2019-06-28 19:55:20,Improvised Workout,Squat,5,50.0,110.23113109243879,,0
2019-06-28 19:56:51,Improvised Workout,Squat,5,60.0,132.27735731092653,,0
2019-06-28 20:00:23,Improvised Workout,Squat,5,70.0,154.3235835294143,,0
2019-06-28 20:04:43,Improvised Workout,Squat,4,75.0,165.3466966386582,,0
2019-06-28 20:10:40,Improvised Workout,Squat,4,75.0,165.3466966386582,,0
2019-06-28 20:16:44,Improvised Workout,Squat,2,75.0,165.3466966386582,,0
2019-06-28 20:16:48,Improvised Workout,Squat,3,70.0,154.3235835294143,,0
2019-06-28 20:22:23,Improvised Workout,Squat,4,70.0,154.3235835294143,,0
2019-06-28 20:26:19,Improvised Workout,Squat,8,60.0,132.27735731092653,,0
2019-06-28 20:28:02,Improvised Workout,Bench Press,10,20.0,44.09245243697551,,0
2019-06-28 20:28:10,Improvised Workout,Bench Press,20,20.0,44.09245243697551,,0
2019-06-28 20:29:38,Improvised Workout,Bench Press,10,40.0,88.18490487395103,,0
2019-06-28 20:30:59,Improvised Workout,Bench Press,10,50.0,110.23113109243879,,0
2019-06-28 20:34:03,Improvised Workout,Bench Press,10,60.0,132.27735731092653,,0
2019-06-28 20:35:32,Improvised Workout,Bench Press,4,75.0,165.3466966386582,,0
2019-06-28 20:39:14,Improvised Workout,Bench Press,4,75.0,165.3466966386582,,0
2019-06-30 19:16:36,Improvised Workout,Deadlift,5,50.0,110.23113109243879,,0
2019-06-30 19:18:16,Improvised Workout,Deadlift,5,70.0,154.3235835294143,,0
2019-06-30 19:20:47,Improvised Workout,Deadlift,3,90.0,198.4160359663898,,0
2019-06-30 19:25:35,Improvised Workout,Deadlift,1,100.0,220.46226218487757,,0
2019-06-30 19:25:40,Improvised Workout,Deadlift,1,110.0,242.50848840336533,,0
2019-06-30 19:28:50,Improvised Workout,Deadlift,1,120.0,264.55471462185307,,0
2019-06-30 19:30:54,Improvised Workout,Deadlift,1,130.0,286.60094084034085,,0
2019-06-30 19:34:07,Improvised Workout,Deadlift,1,140.0,308.6471670588286,,0
2019-06-30 19:44:41,Improvised Workout,Deadlift,0,155.0,341.71650638656024,,0
2019-06-30 19:46:06,Improvised Workout,Deadlift,1,145.0,319.67028016807245,,0
2019-06-30 19:48:35,Improvised Workout,Deadlift,1,140.0,308.6471670588286,,0
2019-06-30 19:53:07,Improvised Workout,Deadlift,3,130.0,286.60094084034085,,0
2019-06-30 19:58:04,Improvised Workout,Deadlift,3,120.0,264.55471462185307,,0
2019-06-30 20:05:20,Improvised Workout,Deadlift,5,110.0,242.50848840336533,,0
2019-06-30 20:09:46,Improvised Workout,Deadlift,5,100.0,220.46226218487757,,0
2019-06-30 20:13:20,Improvised Workout,Deadlift,5,100.0,220.46226218487757,,0
2019-06-30 20:17:34,Improvised Workout,Bench Press,10,20.0,44.09245243697551,,0
2019-06-30 20:19:25,Improvised Workout,Bench Press,10,40.0,88.18490487395103,,0
2019-06-30 20:21:01,Improvised Workout,Bench Press,5,50.0,110.23113109243879,,0
2019-06-30 20:22:46,Improvised Workout,Bench Press,5,60.0,132.27735731092653,,0
2019-06-30 20:28:03,Improvised Workout,Bench Press,12,70.0,154.3235835294143,Skumma stången... Väger den rätt?,0
2019-06-30 20:32:54,Improvised Workout,Bench Press,11,70.0,154.3235835294143,,0
